age,sex,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
33,Female,0.791,Ron Paul,1,1,6,4,20,20,Other,NA,NA,1,Republican,Voted in Other Party Primary,2012
30,Female,0.578,Didn't Vote,0,-2,-8,-8,-8,-8,No Preference,NA,NA,0,NA,Didn't Vote,2012
48,Male,0.816,Didn't Vote,0,4,-8,-8,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
34,Male,0.559,Didn't Vote,0,2,6,2,85,15,Democrat,85,15,0,NA,Didn't Vote,2012
50,Female,0.226,Didn't Vote,0,5,6,2,70,100,Republican,100,70,0,NA,Didn't Vote,2012
51,Female,0.101,Didn't Vote,0,-2,3,5,70,50,Democrat,70,50,0,NA,Didn't Vote,2012
65,Male,2.463,Barack Obama,1,4,6,2,60,50,Democrat,60,50,1,Democrat,Winner,2012
77,Male,2.453,Didn't Vote,0,2,7,2,85,15,Democrat,85,15,0,NA,Didn't Vote,2012
39,Male,1.968,Mitt Romney,1,7,6,1,0,70,Republican,70,0,1,Republican,Winner,2012
72,Male,1.773,Barack Obama,1,1,7,1,100,0,Democrat,100,0,1,Democrat,Winner,2012
49,Female,1.536,Barack Obama,1,1,7,2,100,0,Democrat,100,0,1,Democrat,Winner,2012
49,Female,1.06,Didn't Vote,0,6,6,2,40,85,Republican,85,40,0,NA,Didn't Vote,2012
24,Male,1.542,Didn't Vote,0,4,6,2,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
19,Female,1.607,Didn't Vote,0,-2,6,3,15,15,Independent,NA,NA,0,NA,Didn't Vote,2012
80,Female,1.514,Barack Obama,1,2,6,2,85,30,Democrat,85,30,1,Democrat,Winner,2012
22,Female,0.216,Didn't Vote,0,3,6,2,100,40,Democrat,100,40,0,NA,Didn't Vote,2012
19,Male,0.639,Didn't Vote,0,-8,-8,-8,85,60,Democrat,85,60,0,NA,Didn't Vote,2012
55,Female,0.305,Didn't Vote,0,6,3,4,70,70,Democrat,70,70,0,NA,Didn't Vote,2012
30,Male,0.228,Didn't Vote,0,4,7,2,70,0,NA,NA,NA,0,NA,NA,2012
49,Male,0.392,Didn't Vote,0,4,7,3,70,30,Democrat,70,30,0,NA,Didn't Vote,2012
23,Male,0.341,Didn't Vote,0,4,6,2,0,0,Independent,NA,NA,0,NA,Didn't Vote,2012
71,Female,0.266,Didn't Vote,0,-2,-8,-8,100,0,Democrat,100,0,0,NA,Didn't Vote,2012
43,Female,1.405,Didn't Vote,0,5,7,2,30,60,Republican,60,30,0,NA,Didn't Vote,2012
NA,Female,0.181,Didn't Vote,0,4,7,1,85,70,Democrat,85,70,0,NA,Didn't Vote,2012
53,Female,2.905,Didn't Vote,0,5,3,2,40,95,Independent,NA,NA,0,NA,Didn't Vote,2012
29,Female,1.775,Didn't Vote,0,-2,4,4,60,50,Independent,NA,NA,0,NA,Didn't Vote,2012
40,Male,4.592,Didn't Vote,0,-2,6,3,30,60,Republican,60,30,0,NA,Didn't Vote,2012
18,Male,4.913,Didn't Vote,0,3,6,3,80,50,Democrat,80,50,0,NA,Didn't Vote,2012
57,Male,1.656,Barack Obama,1,2,7,2,70,0,Democrat,70,0,1,Democrat,Winner,2012
52,Male,2.434,Didn't Vote,0,-2,-8,-8,60,20,No Preference,NA,NA,0,NA,Didn't Vote,2012
63,Male,0.878,Didn't Vote,0,2,7,2,70,0,Democrat,70,0,0,NA,Didn't Vote,2012
NA,Male,1.255,Didn't Vote,0,4,4,4,-8,-8,Independent,NA,NA,0,NA,Didn't Vote,2012
NA,Female,0.976,NA,NA,2,2,1,1,100,Republican,100,1,NA,NA,NA,2012
NA,Male,0.989,Didn't Vote,0,3,7,2,85,30,Democrat,85,30,0,NA,Didn't Vote,2012
22,Female,0.17,Didn't Vote,0,-2,2,5,85,30,Democrat,85,30,0,NA,Didn't Vote,2012
28,Female,1.46,Didn't Vote,0,6,3,4,60,5,Independent,NA,NA,0,NA,Didn't Vote,2012
26,Male,0.884,Didn't Vote,0,5,6,2,35,45,Republican,45,35,0,NA,Didn't Vote,2012
56,Male,1.43,Didn't Vote,0,4,6,2,0,0,Independent,NA,NA,0,NA,Didn't Vote,2012
56,Male,3.024,Mitt Romney,1,7,5,2,15,60,Republican,60,15,1,Republican,Winner,2012
84,Female,1.796,Mitt Romney,1,6,5,2,30,70,Republican,70,30,1,Republican,Winner,2012
51,Female,1.011,Didn't Vote,0,-2,6,2,70,40,Independent,NA,NA,0,NA,Didn't Vote,2012
34,Male,0.984,Didn't Vote,0,5,-8,-8,40,0,Democrat,40,0,0,NA,Didn't Vote,2012
28,Male,1.741,Didn't Vote,0,5,6,1,40,40,Independent,NA,NA,0,NA,Didn't Vote,2012
48,Female,0.873,Didn't Vote,0,-2,-8,-8,85,0,Democrat,85,0,0,NA,Didn't Vote,2012
49,Female,1.274,Mitt Romney,1,4,6,1,60,60,Republican,60,60,1,Republican,Winner,2012
43,Female,2.121,Didn't Vote,0,-2,5,2,30,70,Republican,70,30,0,NA,Didn't Vote,2012
52,Male,0.75,Didn't Vote,0,-2,3,5,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
70,Female,0.943,Rick Santorum,1,4,7,3,50,50,Independent,NA,NA,1,Republican,Voted in Other Party Primary,2012
43,Male,2.736,Mitt Romney,1,4,4,6,40,60,Republican,60,40,1,Republican,Winner,2012
50,Female,0.765,Mitt Romney,1,6,6,2,30,85,Republican,85,30,1,Republican,Winner,2012
35,Female,1.573,Didn't Vote,0,5,5,2,15,70,Republican,70,15,0,NA,Didn't Vote,2012
28,Male,3.476,Didn't Vote,0,-2,4,3,40,85,Republican,85,40,0,NA,Didn't Vote,2012
61,Male,2.974,Mitt Romney,1,7,7,1,0,100,Republican,100,0,1,Republican,Winner,2012
56,Male,0.592,Didn't Vote,0,2,6,2,60,50,Other,NA,NA,0,NA,Didn't Vote,2012
31,Female,0.333,Didn't Vote,0,-2,7,3,100,30,Democrat,100,30,0,NA,Didn't Vote,2012
49,Male,0.222,Barack Obama,1,4,7,3,85,40,Democrat,85,40,1,Democrat,Winner,2012
30,Female,0.258,Didn't Vote,0,-2,-8,4,100,0,Democrat,100,0,0,NA,Didn't Vote,2012
33,Female,0.077,Didn't Vote,0,-2,7,6,60,30,Democrat,60,30,0,NA,Didn't Vote,2012
42,Female,0.342,Didn't Vote,0,-2,2,5,70,0,Democrat,70,0,0,NA,Didn't Vote,2012
71,Female,0.695,Barack Obama,1,-2,1,-8,100,0,Democrat,100,0,1,Democrat,Winner,2012
34,Female,0.171,Barack Obama,1,3,7,2,100,30,Democrat,100,30,1,Democrat,Winner,2012
70,Male,1.477,Didn't Vote,0,6,5,3,40,60,Other,NA,NA,0,NA,Didn't Vote,2012
33,Female,2.169,Barack Obama,1,3,6,2,60,40,Democrat,60,40,1,Democrat,Winner,2012
74,Female,0.144,Barack Obama,1,-2,-8,-8,60,50,Democrat,60,50,1,Democrat,Winner,2012
66,Female,0.84,Didn't Vote,0,4,6,3,85,60,Democrat,85,60,0,NA,Didn't Vote,2012
50,Male,1.034,Didn't Vote,0,7,6,2,85,60,Democrat,85,60,0,NA,Didn't Vote,2012
28,Male,1.273,Didn't Vote,0,-2,1,6,85,0,Democrat,85,0,0,NA,Didn't Vote,2012
65,Female,1.048,Didn't Vote,0,6,6,1,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
78,Male,3.07,Barack Obama,1,-2,1,4,70,0,Democrat,70,0,1,Democrat,Winner,2012
75,Male,2.775,Didn't Vote,0,-2,6,4,85,30,Other,NA,NA,0,NA,Didn't Vote,2012
73,Male,0.884,Barack Obama,1,2,7,2,100,0,Democrat,100,0,1,Democrat,Winner,2012
62,Male,2.317,Didn't Vote,0,2,1,3,50,50,Democrat,50,50,0,NA,Didn't Vote,2012
71,Male,4.334,Herman Cain,1,7,5,2,50,60,Republican,60,50,1,Republican,Loser,2012
84,Male,1.387,Didn't Vote,0,-2,7,3,70,30,Democrat,70,30,0,NA,Didn't Vote,2012
52,Female,0.57,Didn't Vote,0,5,1,7,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
52,Female,1.875,Didn't Vote,0,4,7,3,70,15,Democrat,70,15,0,NA,Didn't Vote,2012
24,Male,1.893,Didn't Vote,0,-2,5,3,70,50,Independent,NA,NA,0,NA,Didn't Vote,2012
34,Female,0.485,Didn't Vote,0,3,7,2,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
78,Male,1.385,Didn't Vote,0,2,6,2,85,40,Democrat,85,40,0,NA,Didn't Vote,2012
41,Female,1.727,Didn't Vote,0,3,7,3,70,15,Independent,NA,NA,0,NA,Didn't Vote,2012
47,Female,1.066,Didn't Vote,0,3,7,1,100,30,Democrat,100,30,0,NA,Didn't Vote,2012
20,Female,1.897,Didn't Vote,0,4,4,3,85,50,Independent,NA,NA,0,NA,Didn't Vote,2012
41,Female,1.717,Didn't Vote,0,4,6,2,60,30,Independent,NA,NA,0,NA,Didn't Vote,2012
36,Female,0.485,Didn't Vote,0,-2,6,3,50,50,No Preference,NA,NA,0,NA,Didn't Vote,2012
84,Female,1.199,Herman Cain,1,7,5,2,40,50,Other,NA,NA,1,Republican,Voted in Other Party Primary,2012
27,Female,0.28,Didn't Vote,0,-2,-8,6,85,50,Democrat,85,50,0,NA,Didn't Vote,2012
41,Female,0.283,Didn't Vote,0,2,5,2,85,40,Independent,NA,NA,0,NA,Didn't Vote,2012
42,Male,1.778,Didn't Vote,0,5,6,2,30,70,Independent,NA,NA,0,NA,Didn't Vote,2012
33,Male,2.757,Didn't Vote,0,4,6,3,60,70,Independent,NA,NA,0,NA,Didn't Vote,2012
56,Male,2.56,Barack Obama,1,4,6,4,70,50,Democrat,70,50,1,Democrat,Winner,2012
35,Male,0.789,Didn't Vote,0,5,6,2,30,60,Independent,NA,NA,0,NA,Didn't Vote,2012
36,Female,0.902,Didn't Vote,0,4,7,2,60,40,Republican,40,60,0,NA,Didn't Vote,2012
41,Male,0.679,Didn't Vote,0,3,6,5,60,85,Republican,85,60,0,NA,Didn't Vote,2012
56,Female,0.605,Barack Obama,1,5,5,3,60,50,Democrat,60,50,1,Democrat,Winner,2012
53,Male,1.203,Mitt Romney,1,-2,4,6,60,85,Republican,85,60,1,Republican,Winner,2012
25,Female,0.528,Didn't Vote,0,2,7,2,100,40,Democrat,100,40,0,NA,Didn't Vote,2012
32,Female,0.277,Barack Obama,1,4,7,2,70,0,Democrat,70,0,1,Democrat,Winner,2012
37,Female,0.124,Barack Obama,1,2,7,1,100,15,Democrat,100,15,1,Democrat,Winner,2012
45,Male,1.83,Didn't Vote,0,4,4,1,70,50,Democrat,70,50,0,NA,Didn't Vote,2012
34,Female,0.714,NA,NA,4,6,2,30,85,Republican,85,30,NA,NA,NA,2012
33,Female,0.434,Didn't Vote,0,6,6,2,40,70,Republican,70,40,0,NA,Didn't Vote,2012
55,Female,0.13,Didn't Vote,0,4,6,5,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
62,Male,0.468,Didn't Vote,0,5,3,3,70,60,Independent,NA,NA,0,NA,Didn't Vote,2012
64,Female,0.539,NA,NA,6,3,4,60,50,Democrat,60,50,NA,NA,NA,2012
54,Female,0.354,Barack Obama,1,1,7,2,85,30,Democrat,85,30,1,Democrat,Winner,2012
28,Female,0.869,Didn't Vote,0,-2,5,5,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
71,Male,0.998,Barack Obama,1,4,7,2,85,15,Democrat,85,15,1,Democrat,Winner,2012
41,Female,0.828,Didn't Vote,0,4,-8,-8,-8,-8,Independent,NA,NA,0,NA,Didn't Vote,2012
31,Female,2.131,Didn't Vote,0,-2,-8,-8,50,50,Other,NA,NA,0,NA,Didn't Vote,2012
72,Female,2.163,Herman Cain,1,4,7,1,70,40,Democrat,70,40,1,Republican,Voted in Other Party Primary,2012
28,Male,0.781,Didn't Vote,0,4,-9,-9,65,65,NA,NA,NA,0,NA,NA,2012
46,Female,0.273,Didn't Vote,0,6,2,4,50,0,Democrat,50,0,0,NA,Didn't Vote,2012
32,Male,1.813,Didn't Vote,0,4,1,7,60,40,Independent,NA,NA,0,NA,Didn't Vote,2012
69,Female,0.741,Rick Santorum,1,6,3,1,15,60,Independent,NA,NA,1,Republican,Voted in Other Party Primary,2012
24,Female,2.201,Didn't Vote,0,-2,2,2,0,0,Independent,NA,NA,0,NA,Didn't Vote,2012
37,Male,1.016,Didn't Vote,0,3,5,3,50,60,Republican,60,50,0,NA,Didn't Vote,2012
42,Male,2.747,Didn't Vote,0,2,5,4,55,0,Democrat,55,0,0,NA,Didn't Vote,2012
20,Male,1.484,Didn't Vote,0,-2,3,3,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
76,Male,1.962,Didn't Vote,0,6,5,2,0,100,Republican,100,0,0,NA,Didn't Vote,2012
NA,Male,2.287,Didn't Vote,0,4,7,2,25,25,Independent,NA,NA,0,NA,Didn't Vote,2012
73,Female,0.843,Mitt Romney,1,6,6,2,15,85,Republican,85,15,1,Republican,Winner,2012
58,Male,1.368,Didn't Vote,0,5,7,2,50,60,Republican,60,50,0,NA,Didn't Vote,2012
56,Female,1.381,Didn't Vote,0,5,6,1,50,70,Republican,70,50,0,NA,Didn't Vote,2012
64,Male,2.045,Didn't Vote,0,-2,-8,-8,40,85,Independent,NA,NA,0,NA,Didn't Vote,2012
23,Male,1.955,Didn't Vote,0,2,6,3,90,2,Democrat,90,2,0,NA,Didn't Vote,2012
19,Female,2.037,Didn't Vote,0,3,6,2,60,70,Independent,NA,NA,0,NA,Didn't Vote,2012
51,Female,0.755,Didn't Vote,0,4,6,3,70,60,Independent,NA,NA,0,NA,Didn't Vote,2012
82,Male,1.943,Barack Obama,1,3,6,3,50,50,Independent,NA,NA,1,Democrat,Voted in Other Party Primary,2012
58,Male,2.416,Mitt Romney,1,6,7,3,40,70,Republican,70,40,1,Republican,Winner,2012
18,Male,1.553,Didn't Vote,0,-2,2,6,40,60,Republican,60,40,0,NA,Didn't Vote,2012
44,Female,1.661,Didn't Vote,0,4,5,4,60,60,Independent,NA,NA,0,NA,Didn't Vote,2012
51,Female,1.242,Didn't Vote,0,6,5,2,30,40,Independent,NA,NA,0,NA,Didn't Vote,2012
50,Male,2.823,Didn't Vote,0,-2,5,2,50,60,NA,NA,NA,0,NA,NA,2012
55,Male,0.895,Didn't Vote,0,2,7,1,60,15,Democrat,60,15,0,NA,Didn't Vote,2012
69,Male,1.84,Didn't Vote,0,-2,6,6,85,40,Democrat,85,40,0,NA,Didn't Vote,2012
53,Male,1.324,Didn't Vote,0,6,7,2,60,70,Republican,70,60,0,NA,Didn't Vote,2012
43,Female,1.815,Didn't Vote,0,-2,4,4,70,60,No Preference,NA,NA,0,NA,Didn't Vote,2012
63,Female,1.713,NA,NA,3,6,3,70,30,Democrat,70,30,NA,NA,NA,2012
46,Female,1.228,Didn't Vote,0,4,5,3,40,60,Independent,NA,NA,0,NA,Didn't Vote,2012
33,Female,0.523,Didn't Vote,0,4,-8,-8,70,60,Democrat,70,60,0,NA,Didn't Vote,2012
33,Male,1.315,Didn't Vote,0,-2,-9,-9,60,60,NA,NA,NA,0,NA,NA,2012
56,Male,2.242,Didn't Vote,0,-2,4,4,40,30,Independent,NA,NA,0,NA,Didn't Vote,2012
36,Male,2.012,Didn't Vote,0,-2,2,5,85,60,Democrat,85,60,0,NA,Didn't Vote,2012
26,Female,0.367,Didn't Vote,0,-2,6,2,15,85,Democrat,15,85,0,NA,Didn't Vote,2012
22,Male,0.596,Didn't Vote,0,-2,-8,-8,70,40,Democrat,70,40,0,NA,Didn't Vote,2012
36,Female,0.174,Didn't Vote,0,-2,2,5,85,15,Independent,NA,NA,0,NA,Didn't Vote,2012
53,Male,1.778,Didn't Vote,0,-2,6,3,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
22,Female,0.604,Didn't Vote,0,5,7,2,40,60,Republican,60,40,0,NA,Didn't Vote,2012
32,Female,1.649,Didn't Vote,0,5,6,2,30,60,Republican,60,30,0,NA,Didn't Vote,2012
51,Female,0.301,Didn't Vote,0,1,7,1,0,100,Republican,100,0,0,NA,Didn't Vote,2012
24,Female,0.126,Didn't Vote,0,-2,4,4,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
22,Female,0.889,Didn't Vote,0,-2,-8,-8,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
43,Male,3.82,Didn't Vote,0,-2,6,6,60,70,Independent,NA,NA,0,NA,Didn't Vote,2012
22,Female,0.119,Didn't Vote,0,1,6,4,60,15,Other,NA,NA,0,NA,Didn't Vote,2012
25,Male,0.129,Didn't Vote,0,4,6,1,0,30,Other,NA,NA,0,NA,Didn't Vote,2012
21,Male,0.125,Didn't Vote,0,3,2,6,70,50,No Preference,NA,NA,0,NA,Didn't Vote,2012
25,Male,0.135,Didn't Vote,0,5,7,1,40,40,Republican,40,40,0,NA,Didn't Vote,2012
32,Male,0.131,Didn't Vote,0,3,6,3,70,30,Democrat,70,30,0,NA,Didn't Vote,2012
35,Female,0.222,Didn't Vote,0,5,5,3,40,60,Independent,NA,NA,0,NA,Didn't Vote,2012
31,Male,0.155,Didn't Vote,0,4,7,2,70,40,Independent,NA,NA,0,NA,Didn't Vote,2012
39,Male,0.588,Didn't Vote,0,-2,5,1,85,70,Independent,NA,NA,0,NA,Didn't Vote,2012
47,Female,1.274,Didn't Vote,0,-2,-8,-8,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
57,Male,1.02,Didn't Vote,0,-2,1,5,70,0,Democrat,70,0,0,NA,Didn't Vote,2012
22,Female,3.843,Didn't Vote,0,-2,-8,-8,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
53,Female,0.923,Didn't Vote,0,4,3,4,60,50,Democrat,60,50,0,NA,Didn't Vote,2012
32,Male,2.203,Didn't Vote,0,5,7,1,30,40,Republican,40,30,0,NA,Didn't Vote,2012
70,Male,1.223,Newt Gingrich,1,6,5,2,15,70,Republican,70,15,1,Republican,Loser,2012
40,Female,2.048,Didn't Vote,0,3,6,2,70,30,Democrat,70,30,0,NA,Didn't Vote,2012
51,Female,2.857,Didn't Vote,0,4,-8,-8,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
57,Male,0.373,Didn't Vote,0,3,3,5,85,40,Democrat,85,40,0,NA,Didn't Vote,2012
59,Female,1.599,Didn't Vote,0,-2,-8,-8,50,50,No Preference,NA,NA,0,NA,Didn't Vote,2012
40,Female,1.474,Mitt Romney,1,5,7,1,15,60,Republican,60,15,1,Republican,Winner,2012
54,Female,1.581,Didn't Vote,0,7,7,1,0,85,Republican,85,0,0,NA,Didn't Vote,2012
52,Female,1.414,Didn't Vote,0,-2,3,3,10,50,Independent,NA,NA,0,NA,Didn't Vote,2012
60,Male,2.203,Didn't Vote,0,2,7,3,60,15,Independent,NA,NA,0,NA,Didn't Vote,2012
89,Female,0.973,Didn't Vote,0,5,4,1,30,70,Republican,70,30,0,NA,Didn't Vote,2012
59,Female,1.938,Didn't Vote,0,-2,3,3,50,40,Independent,NA,NA,0,NA,Didn't Vote,2012
46,Female,2.271,Didn't Vote,0,2,7,2,40,40,Democrat,40,40,0,NA,Didn't Vote,2012
42,Male,2.391,Didn't Vote,0,5,6,2,40,40,Other,NA,NA,0,NA,Didn't Vote,2012
NA,Male,4.205,Didn't Vote,0,4,7,3,70,30,Independent,NA,NA,0,NA,Didn't Vote,2012
54,Female,1.56,Mitt Romney,1,-2,6,1,30,70,Independent,NA,NA,1,Republican,Voted in Other Party Primary,2012
42,Male,2.282,Didn't Vote,0,5,6,2,30,60,Independent,NA,NA,0,NA,Didn't Vote,2012
53,Female,2.102,Barack Obama,1,-2,3,4,60,40,Democrat,60,40,1,Democrat,Winner,2012
47,Male,1.325,Didn't Vote,0,4,7,2,85,15,Independent,NA,NA,0,NA,Didn't Vote,2012
61,Male,1.584,Barack Obama,1,1,7,2,85,0,Democrat,85,0,1,Democrat,Winner,2012
64,Male,1.251,Didn't Vote,0,4,7,3,50,15,Independent,NA,NA,0,NA,Didn't Vote,2012
47,Male,1.914,Didn't Vote,0,5,6,2,40,40,Other,NA,NA,0,NA,Didn't Vote,2012
50,Male,1.325,Didn't Vote,0,5,6,2,40,40,Independent,NA,NA,0,NA,Didn't Vote,2012
47,Female,1.271,Didn't Vote,0,-2,2,3,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
61,Male,0.992,Didn't Vote,0,6,5,2,30,70,Independent,NA,NA,0,NA,Didn't Vote,2012
64,Male,2.243,Didn't Vote,0,2,7,3,60,40,Independent,NA,NA,0,NA,Didn't Vote,2012
34,Male,0.894,Didn't Vote,0,4,-8,6,60,50,Independent,NA,NA,0,NA,Didn't Vote,2012
56,Female,1.751,Didn't Vote,0,-2,2,6,70,40,Independent,NA,NA,0,NA,Didn't Vote,2012
55,Male,1.879,Barack Obama,1,2,6,3,60,15,Democrat,60,15,1,Democrat,Winner,2012
61,Male,2.447,Didn't Vote,0,2,7,1,70,15,Independent,NA,NA,0,NA,Didn't Vote,2012
20,Female,2.873,Didn't Vote,0,3,6,2,60,30,Independent,NA,NA,0,NA,Didn't Vote,2012
41,Male,1.09,Didn't Vote,0,4,4,4,70,50,Other,NA,NA,0,NA,Didn't Vote,2012
56,Female,0.821,Barack Obama,1,5,2,5,85,0,Democrat,85,0,1,Democrat,Winner,2012
35,Female,0.764,Didn't Vote,0,-2,4,4,50,50,No Preference,NA,NA,0,NA,Didn't Vote,2012
62,Female,1.208,Didn't Vote,0,-2,4,4,100,0,Democrat,100,0,0,NA,Didn't Vote,2012
68,Female,0.843,Didn't Vote,0,4,6,3,50,50,Other,NA,NA,0,NA,Didn't Vote,2012
54,Female,0.226,Didn't Vote,0,-2,4,4,50,50,Other,NA,NA,0,NA,Didn't Vote,2012
41,Male,0.537,Didn't Vote,0,2,7,2,85,15,Democrat,85,15,0,NA,Didn't Vote,2012
